Label_Lexi,Region_Lexi,Label_Delin,Net_Delin,Label_Yeo,ROI_Yeo,R,A,S,Label_ggseg,region_ggseg,ROI_Data,,,,,Label_Lab
19,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,2,VisPeri,20,17Networks_LH_VisPeri_ExStrSup_1,-18,-64,6,lh_17Networks_LH_VisPeri_ExStrSup_1,VisPeri_ExStrSup_1,X17Networks_LH_VisPeri_ExStrSup_1,,,,20,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8
20,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,2,VisPeri,21,17Networks_LH_VisPeri_ExStrSup_2,-2,-84,24,lh_17Networks_LH_VisPeri_ExStrSup_2,VisPeri_ExStrSup_2,X17Networks_LH_VisPeri_ExStrSup_2,,,,21,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9
21,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,2,VisPeri,22,17Networks_LH_VisPeri_ExStrSup_3,-12,-72,20,lh_17Networks_LH_VisPeri_ExStrSup_3,VisPeri_ExStrSup_3,X17Networks_LH_VisPeri_ExStrSup_3,,,,22,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10
22,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,2,VisPeri,23,17Networks_LH_VisPeri_ExStrSup_4,-16,-88,34,lh_17Networks_LH_VisPeri_ExStrSup_4,VisPeri_ExStrSup_4,X17Networks_LH_VisPeri_ExStrSup_4,,,,23,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11
23,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,2,VisPeri,24,17Networks_LH_VisPeri_ExStrSup_5,-12,-82,36,lh_17Networks_LH_VisPeri_ExStrSup_5,VisPeri_ExStrSup_5,X17Networks_LH_VisPeri_ExStrSup_5,,,,24,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12
24,Schaefer2018_17Networks_LH_SomMotA_1,3,SomMotA,25,17Networks_LH_SomMotA_1,-8,-16,48,lh_17Networks_LH_SomMotA_1,SomMotA_1,X17Networks_LH_SomMotA_1,,,,25,Schaefer2018_17Networks_LH_SomMotA_1
25,Schaefer2018_17Networks_LH_SomMotA_2,3,SomMotA,26,17Networks_LH_SomMotA_2,-40,-14,48,lh_17Networks_LH_SomMotA_2,SomMotA_2,X17Networks_LH_SomMotA_2,,,,26,Schaefer2018_17Networks_LH_SomMotA_2
26,Schaefer2018_17Networks_LH_SomMotA_3,3,SomMotA,27,17Networks_LH_SomMotA_3,-48,-18,54,lh_17Networks_LH_SomMotA_3,SomMotA_3,X17Networks_LH_SomMotA_3,,,,27,Schaefer2018_17Networks_LH_SomMotA_3
27,Schaefer2018_17Networks_LH_SomMotA_4,3,SomMotA,28,17Networks_LH_SomMotA_4,-48,-30,58,lh_17Networks_LH_SomMotA_4,SomMotA_4,X17Networks_LH_SomMotA_4,,,,28,Schaefer2018_17Networks_LH_SomMotA_4
28,Schaefer2018_17Networks_LH_SomMotA_5,3,SomMotA,29,17Networks_LH_SomMotA_5,-38,-24,52,lh_17Networks_LH_SomMotA_5,SomMotA_5,X17Networks_LH_SomMotA_5,,,,29,Schaefer2018_17Networks_LH_SomMotA_5
29,Schaefer2018_17Networks_LH_SomMotA_6,3,SomMotA,30,17Networks_LH_SomMotA_6,-8,-38,54,lh_17Networks_LH_SomMotA_6,SomMotA_6,X17Networks_LH_SomMotA_6,,,,30,Schaefer2018_17Networks_LH_SomMotA_6
30,Schaefer2018_17Networks_LH_SomMotA_7,3,SomMotA,31,17Networks_LH_SomMotA_7,-4,-24,56,lh_17Networks_LH_SomMotA_7,SomMotA_7,X17Networks_LH_SomMotA_7,,,,31,Schaefer2018_17Networks_LH_SomMotA_7
31,Schaefer2018_17Networks_LH_SomMotA_8,3,SomMotA,32,17Networks_LH_SomMotA_8,-4,-8,60,lh_17Networks_LH_SomMotA_8,SomMotA_8,X17Networks_LH_SomMotA_8,,,,32,Schaefer2018_17Networks_LH_SomMotA_8
32,Schaefer2018_17Networks_LH_SomMotA_9,3,SomMotA,33,17Networks_LH_SomMotA_9,-36,-20,64,lh_17Networks_LH_SomMotA_9,SomMotA_9,X17Networks_LH_SomMotA_9,,,,33,Schaefer2018_17Networks_LH_SomMotA_9
33,Schaefer2018_17Networks_LH_SomMotA_10,3,SomMotA,34,17Networks_LH_SomMotA_10,-32,-30,62,lh_17Networks_LH_SomMotA_10,SomMotA_10,X17Networks_LH_SomMotA_10,,,,34,Schaefer2018_17Networks_LH_SomMotA_10
34,Schaefer2018_17Networks_LH_SomMotA_11,3,SomMotA,35,17Networks_LH_SomMotA_11,-30,-38,66,lh_17Networks_LH_SomMotA_11,SomMotA_11,X17Networks_LH_SomMotA_11,,,,35,Schaefer2018_17Networks_LH_SomMotA_11
35,Schaefer2018_17Networks_LH_SomMotA_12,3,SomMotA,36,17Networks_LH_SomMotA_12,-24,-10,64,lh_17Networks_LH_SomMotA_12,SomMotA_12,X17Networks_LH_SomMotA_12,,,,36,Schaefer2018_17Networks_LH_SomMotA_12
